>NZ_CP043554.1 Vibrio cholerae strain RFB16 chromosome 1, complete sequence
  Start: 1, End: 5000, Banda R, GC%: 50.92, AT%: 49.08
  Start: 700001, End: 705000, Banda G, GC%: 47.4, AT%: 52.6
  Start: 705001, End: 710000, Banda R, GC%: 50.4, AT%: 49.6
  Start: 710001, End: 715000, Banda G, GC%: 48.9, AT%: 51.1
  Start: 715001, End: 720000, Banda G, GC%: 46.38, AT%: 53.62
  Start: 720001, End: 725000, Banda G, GC%: 46.12, AT%: 53.88
  Start: 725001, End: 730000, Banda G, GC%: 45.7, AT%: 54.3
  Start: 730001, End: 735000, Banda G, GC%: 46.86, AT%: 53.14
  Start: 735001, End: 740000, Banda G, GC%: 43.52, AT%: 56.48
  Start: 740001, End: 745000, Banda G, GC%: 48.16, AT%: 51.84
  Start: 745001, End: 750000, Banda G, GC%: 47.82, AT%: 52.18
  Start: 750001, End: 755000, Banda G, GC%: 44.54, AT%: 55.46
  Start: 755001, End: 760000, Banda G, GC%: 48.74, AT%: 51.26
  Start: 760001, End: 765000, Banda R, GC%: 50.54, AT%: 49.46
  Start: 765001, End: 770000, Banda R, GC%: 51.26, AT%: 48.74
  Start: 770001, End: 775000, Banda G, GC%: 48.1, AT%: 51.9
  Start: 775001, End: 780000, Banda G, GC%: 42.86, AT%: 57.14
  Start: 780001, End: 785000, Banda R, GC%: 50.38, AT%: 49.62
  Start: 785001, End: 790000, Banda G, GC%: 49.14, AT%: 50.86
  Start: 790001, End: 795000, Banda G, GC%: 48.1, AT%: 51.9
  Start: 795001, End: 800000, Banda R, GC%: 50.94, AT%: 49.06
  Start: 800001, End: 805000, Banda R, GC%: 50.18, AT%: 49.82
  Start: 805001, End: 810000, Banda G, GC%: 47.26, AT%: 52.74
  Start: 810001, End: 815000, Banda G, GC%: 48.24, AT%: 51.76
  Start: 815001, End: 820000, Banda G, GC%: 47.88, AT%: 52.12
  Start: 820001, End: 825000, Banda G, GC%: 45.06, AT%: 54.94
  Start: 825001, End: 830000, Banda G, GC%: 48.0, AT%: 52.0
  Start: 830001, End: 835000, Banda G, GC%: 49.9, AT%: 50.1
  Start: 835001, End: 840000, Banda G, GC%: 48.18, AT%: 51.82
  Start: 840001, End: 845000, Banda G, GC%: 48.74, AT%: 51.26
  Start: 845001, End: 850000, Banda G, GC%: 45.9, AT%: 54.1
  Start: 850001, End: 855000, Banda G, GC%: 46.68, AT%: 53.32
  Start: 855001, End: 860000, Banda G, GC%: 49.06, AT%: 50.94
  Start: 860001, End: 865000, Banda G, GC%: 46.22, AT%: 53.78
  Start: 865001, End: 870000, Banda G, GC%: 48.78, AT%: 51.22
  Start: 870001, End: 875000, Banda G, GC%: 44.22, AT%: 55.78
  Start: 875001, End: 880000, Banda G, GC%: 49.8, AT%: 50.2
  Start: 880001, End: 885000, Banda G, GC%: 45.48, AT%: 54.52
  Start: 885001, End: 890000, Banda G, GC%: 48.48, AT%: 51.52
  Start: 890001, End: 895000, Banda G, GC%: 44.78, AT%: 55.22
  Start: 895001, End: 900000, Banda G, GC%: 48.38, AT%: 51.62
  Start: 900001, End: 905000, Banda R, GC%: 50.62, AT%: 49.38
  Start: 905001, End: 910000, Banda G, GC%: 46.26, AT%: 53.74
  Start: 910001, End: 915000, Banda R, GC%: 52.14, AT%: 47.86
  Start: 915001, End: 920000, Banda R, GC%: 50.62, AT%: 49.38
  Start: 920001, End: 925000, Banda G, GC%: 47.88, AT%: 52.12
  Start: 925001, End: 930000, Banda G, GC%: 48.18, AT%: 51.82
  Start: 930001, End: 935000, Banda G, GC%: 49.88, AT%: 50.12
  Start: 935001, End: 940000, Banda G, GC%: 48.62, AT%: 51.38
  Start: 940001, End: 945000, Banda G, GC%: 42.6, AT%: 57.4
  Start: 945001, End: 950000, Banda G, GC%: 40.56, AT%: 59.44
  Start: 950001, End: 955000, Banda G, GC%: 42.56, AT%: 57.44
  Start: 955001, End: 960000, Banda G, GC%: 42.88, AT%: 57.12
  Start: 960001, End: 965000, Banda G, GC%: 41.7, AT%: 58.3
  Start: 965001, End: 970000, Banda G, GC%: 42.92, AT%: 57.08
  Start: 970001, End: 975000, Banda G, GC%: 40.36, AT%: 59.64
  Start: 975001, End: 980000, Banda G, GC%: 40.26, AT%: 59.74
  Start: 980001, End: 985000, Banda G, GC%: 42.74, AT%: 57.26
  Start: 985001, End: 990000, Banda G, GC%: 41.02, AT%: 58.98
  Start: 990001, End: 995000, Banda G, GC%: 43.62, AT%: 56.38
  Start: 995001, End: 1000000, Banda G, GC%: 42.42, AT%: 57.58
  Start: 1000001, End: 1005000, Banda G, GC%: 41.08, AT%: 58.92
  Start: 1005001, End: 1010000, Banda G, GC%: 43.6, AT%: 56.4
  Start: 1010001, End: 1015000, Banda G, GC%: 40.68, AT%: 59.32
  Start: 1015001, End: 1020000, Banda G, GC%: 42.62, AT%: 57.38
  Start: 1020001, End: 1025000, Banda G, GC%: 43.26, AT%: 56.74
  Start: 1025001, End: 1030000, Banda G, GC%: 42.4, AT%: 57.6
  Start: 1030001, End: 1035000, Banda G, GC%: 43.24, AT%: 56.76
  Start: 1035001, End: 1040000, Banda G, GC%: 41.22, AT%: 58.78
  Start: 1040001, End: 1045000, Banda G, GC%: 42.8, AT%: 57.2
  Start: 1045001, End: 1050000, Banda G, GC%: 43.2, AT%: 56.8
  Start: 1050001, End: 1055000, Banda G, GC%: 43.48, AT%: 56.52
  Start: 1055001, End: 1060000, Banda G, GC%: 43.1, AT%: 56.9
  Start: 1060001, End: 1065000, Banda G, GC%: 40.72, AT%: 59.28
  Start: 1065001, End: 1070000, Banda G, GC%: 41.0, AT%: 59.0
  Start: 1070001, End: 1075000, Banda G, GC%: 42.8, AT%: 57.2
  Start: 1075001, End: 1080000, Banda G, GC%: 46.7, AT%: 53.3
  Start: 1080001, End: 1085000, Banda G, GC%: 49.86, AT%: 50.14
  Start: 1085001, End: 1090000, Banda G, GC%: 49.26, AT%: 50.74
  Start: 1090001, End: 1095000, Banda G, GC%: 43.62, AT%: 56.38
  Start: 1095001, End: 1100000, Banda G, GC%: 47.84, AT%: 52.16
  Start: 1100001, End: 1105000, Banda R, GC%: 50.44, AT%: 49.56
  Start: 1105001, End: 1110000, Banda G, GC%: 45.78, AT%: 54.22
  Start: 1110001, End: 1115000, Banda G, GC%: 45.38, AT%: 54.62
  Start: 1115001, End: 1120000, Banda G, GC%: 47.3, AT%: 52.7
  Start: 1120001, End: 1125000, Banda G, GC%: 44.84, AT%: 55.16
  Start: 1125001, End: 1130000, Banda G, GC%: 45.38, AT%: 54.62
  Start: 1130001, End: 1135000, Banda G, GC%: 45.06, AT%: 54.94
  Start: 1135001, End: 1140000, Banda G, GC%: 45.8, AT%: 54.2
>NZ_CP043555.1 Vibrio cholerae strain RFB16 plasmid unnamed, complete sequence
  Start: 1, End: 5000, Banda G, GC%: 42.0, AT%: 58.0
  Start: 5001, End: 10000, Banda G, GC%: 40.02, AT%: 59.98
  Start: 10001, End: 15000, Banda G, GC%: 39.14, AT%: 60.86
  Start: 15001, End: 20000, Banda G, GC%: 41.88, AT%: 58.12
  Start: 20001, End: 25000, Banda G, GC%: 41.86, AT%: 58.14
  Start: 25001, End: 30000, Banda G, GC%: 42.7, AT%: 57.3
  Start: 30001, End: 35000, Banda G, GC%: 40.52, AT%: 59.48
  Start: 35001, End: 40000, Banda G, GC%: 41.48, AT%: 58.52
  Start: 40001, End: 45000, Banda G, GC%: 39.84, AT%: 60.16
